Designator,Mid X,Mid Y,Rotation,Layer
BT1,191.06,-78.65,180.0,bottom
C1,176.63,-74.7,270.0,top
C10,147.14,-72.34,90.0,top
C11,166.19,-66.33,270.0,top
C12,170.99,-65.36,180.0,top
C13,191.53,-86.02,270.0,top
C14,151.93,-69.37,0.0,top
C2,172.31,-74.7,270.0,top
C3,185.5,-72.96,270.0,top
C4,158.05,-71.48,180.0,top
C5,186.19,-80.3,90.0,top
C6,151.87,-79.21,90.0,top
C7,144.33,-81.1,90.0,top
C8,132.87,-82.69,0.0,top
C9,166.93,-78.92,0.0,top
D1,143.72,-67.65,180.0,top
D2,136.15,-71.36,90.0,top
D3,159.27,-65.82,90.0,top
J1,151.01,-95.195,270.0,top
J2,161.73,-95.175,90.0,top
J3,202.13,-78.225,90.0,top
J4,196.845,-87.6,0.0,top
J5,173.62,-69.4,270.0,top
J6,142.31,-86.63,90.0,top
J7,187.85,-63.2,0.0,top
JP1,155.805,-94.425,180.0,top
MK1,116.055,-91.3,180.0,top
Q1,178.14,-68.25,180.0,top
R1,132.08,-68.58,270.0,top
R10,133.63,-85.73,180.0,top
R11,138.86,-80.83,0.0,top
R12,140.93,-76.55,0.0,top
R13,127.29,-89.21,0.0,top
R14,131.71,-93.51,0.0,top
R15,147.29,-77.56,0.0,top
R16,150.58,-64.22,180.0,top
R17,196.48,-71.33,180.0,top
R18,180.62,-72.47,0.0,top
R19,167.64,-90.48,180.0,top
R2,138.03,-65.76,0.0,top
R20,163.38,-91.93,180.0,top
R3,154.83,-64.06,270.0,top
R4,169.04,-86.41,90.0,top
R5,168.81,-74.2,270.0,top
R6,111.98,-73.64,270.0,top
R7,140.05,-72.14,0.0,top
R8,133.0,-78.53,180.0,top
R9,169.22,-82.24,0.0,top
TP1,124.93,-83.54,0.0,top
TP2,138.11,-84.33,0.0,top
U1,156.18,-75.72,0.0,top
U2,177.4,-80.06,180.0,top
U3,160.63,-83.67,270.0,top
U4,164.07,-71.81,0.0,top
U5,182.13,-89.69,270.0,top
