"Source:","/home/tng/work/nhayen/electronic/sensor/sensor_board/sensor_board.kicad_sch"
"Date:","Thứ ba, 07 Tháng 2 Năm 2023 21:50:40 +07"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD"
"","","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","","",""
"","","C1","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C2","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C3","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C4","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C5","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C6","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C7","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C8","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C9","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C10","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C11","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C12","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C13","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C14","1n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C15","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C16","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C17","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","D1","1N4728","Device:D_Zener","Diode_SMD:D_SOD-110","~","","","","",""
"","","D2","1N4728","Device:D_Zener","Diode_SMD:D_SOD-110","~","","","","",""
"","","D3","D_Zener_Dual_CommonAnode_KKA","Device:D_Zener_Dual_CommonAnode_KKA","Package_TO_SOT_SMD:SOT-23","~","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5_Pad","~","","","","",""
"","","J1","zigbee connector","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","",""
"","","J2","SWD","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"","","J3","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","https://www.thegioiic.com/cong-usb-micro-b-2-0-dau-cai-5-chan-smd-v2","","","","",""
"","","J4","AM2320","Connector:Conn_01x04_Male","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.seeedstudio.com/Grove-CO2-Temperature-Humidity-Sensor-SCD41-p-5025.html","","","","",""
"","","J5","Lithium_battery_conn","Connector:Conn_01x02_Female","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~","","","","",""
"","","J6","ACC","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"","","J7","DBG_PWR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://www.thegioiic.com/kf8500-2-terminal-khoi-han-pcb-2-cuc-20a-300v-8-25mm-han-pcb","","","","",""
"","","JP1","3.3v Jumper","Jumper:Jumper_2_Bridged","Connector_PinSocket_1.27mm:PinSocket_1x02_P1.27mm_Vertical","~","","","","",""
"","","MK1","AOM-6738P-R","AOM-6738P-R:AOM-6738P-R","microphone:MIC_AOM-6738P-R","","PUI Audio","6.9 mm","B","","IPC 7351B"
"","","Q1","DMP3098LQ","Device:Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","https://www.mouser.vn/datasheet/2/115/DIOD_S_A0002960474_1-2542057.pdf","","","","",""
"","","R1","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
